Date,Time,Output
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Bridge.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/equipment_malfunction.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Tentacled_Sea_Cucumber.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Cavalry_Charge.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Guerrilla_Skirmish.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Sea_Otter.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Morning_Star.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Journalist.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Rapier.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Graphic_Designer.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Puffin.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Data_Analyst.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Teacher.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Hamster.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Katana.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Scientist.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Boomerang.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Koala.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Nurse.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Dentist.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Gondola.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Halberd.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Engineer.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Hospital.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Tarantula.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Architect.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Bastard_Sword.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Apartment_Building.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Beaver.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Flanking_Maneuver.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/attack_overview.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Komodo_Dragon.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Molotov_Cocktail.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Bull.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Fox.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Flail.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Firefighter.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Kayak.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/api_rate_limit_reached.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Ballista.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Farmer.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/fire_control.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Evacuation_Operation.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/betrayal_risk.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Trench_Assault.json'}"
2024-12-25,13:02:36,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Cow.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Chef.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Actor.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/ATV.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Castle.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Multi_Motor_Trampoline.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Parrotfish.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Aerial_Dogfight.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Vulture.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Goldfish.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/temperature_threshold_exceeded.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/disk_space_warning.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/radar_error_monitoring.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Paratrooper_Drop.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Naval_Bombardment.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/encryption_flaw.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/satellite_disruption.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Mole.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Cannon.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Scimitar.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/missile_failure.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Shuriken.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Canoe.json'}"
2024-12-25,13:02:37,"{'succeeded': True, 'file upload': '/Users/yuda/Desktop/RIG_v1/evaluation/data/rule_types/Scythe.json'}"
